Order_ID,Order_Date,Product,Category,Quantity,Price,Total_Sales,Month
ORD1001,2024-01-01,Monitor,Accessories,1,45651,45651,2024-01
ORD1002,2024-01-06,Printer,Electronics,4,22903,91612,2024-01
ORD1003,2024-01-11,Keyboard,Accessories,4,18641,74564,2024-01
ORD1004,2024-01-16,Printer,Electronics,4,15320,61280,2024-01
ORD1005,2024-01-21,Printer,Accessories,5,40842,204210,2024-01
ORD1006,2024-01-26,Mouse,Electronics,1,6874,6874,2024-01
ORD1007,2024-01-31,Keyboard,Accessories,5,2178,10890,2024-01
ORD1008,2024-02-05,Keyboard,Electronics,5,34327,171635,2024-02
ORD1009,2024-02-10,Keyboard,Electronics,1,16698,16698,2024-02
ORD1010,2024-02-15,Printer,Accessories,1,10414,10414,2024-02
ORD1011,2024-02-20,Monitor,Electronics,1,28390,28390,2024-02
ORD1012,2024-02-25,Keyboard,Accessories,1,22799,22799,2024-02
ORD1013,2024-03-01,Printer,Accessories,4,44085,176340,2024-03
ORD1014,2024-03-06,Mouse,Accessories,3,44189,132567,2024-03
ORD1015,2024-03-11,Monitor,Accessories,3,43057,129171,2024-03
ORD1016,2024-03-16,Mouse,Accessories,1,49580,49580,2024-03
ORD1017,2024-03-21,Monitor,Accessories,3,44520,133560,2024-03
ORD1018,2024-03-26,Printer,Accessories,3,3193,9579,2024-03
ORD1019,2024-03-31,Laptop,Accessories,1,29967,29967,2024-03
ORD1020,2024-04-05,Monitor,Accessories,3,30223,90669,2024-04
ORD1021,2024-04-10,Mouse,Accessories,5,47199,235995,2024-04
ORD1022,2024-04-15,Printer,Accessories,2,4127,8254,2024-04
ORD1023,2024-04-20,Monitor,Electronics,2,26439,52878,2024-04
ORD1024,2024-04-25,Laptop,Electronics,1,49425,49425,2024-04
ORD1025,2024-04-30,Laptop,Accessories,4,43441,173764,2024-04
ORD1026,2024-05-05,Keyboard,Accessories,1,22334,22334,2024-05
ORD1027,2024-05-10,Keyboard,Accessories,4,18547,74188,2024-05
ORD1028,2024-05-15,Mouse,Accessories,2,26605,53210,2024-05
ORD1029,2024-05-20,Monitor,Accessories,1,10730,10730,2024-05
ORD1030,2024-05-25,Monitor,Accessories,5,16207,81035,2024-05
ORD1031,2024-05-30,Keyboard,Accessories,3,22476,67428,2024-05
ORD1032,2024-06-04,Monitor,Accessories,4,44762,179048,2024-06
ORD1033,2024-06-09,Monitor,Electronics,3,24276,72828,2024-06
ORD1034,2024-06-14,Laptop,Accessories,3,30580,91740,2024-06
ORD1035,2024-06-19,Keyboard,Electronics,1,1806,1806,2024-06
ORD1036,2024-06-24,Printer,Accessories,3,7276,21828,2024-06
ORD1037,2024-06-29,Keyboard,Accessories,5,27751,138755,2024-06
ORD1038,2024-07-04,Printer,Electronics,3,9974,29922,2024-07
ORD1039,2024-07-09,Laptop,Accessories,1,40794,40794,2024-07
ORD1040,2024-07-14,Mouse,Electronics,5,22459,112295,2024-07
ORD1041,2024-07-19,Monitor,Accessories,2,6030,12060,2024-07
ORD1042,2024-07-24,Laptop,Accessories,3,29820,89460,2024-07
ORD1043,2024-07-29,Monitor,Electronics,1,4248,4248,2024-07
ORD1044,2024-08-03,Mouse,Accessories,2,32468,64936,2024-08
ORD1045,2024-08-08,Mouse,Electronics,2,33062,66124,2024-08
ORD1046,2024-08-13,Laptop,Accessories,4,14045,56180,2024-08
ORD1047,2024-08-18,Mouse,Electronics,5,1163,5815,2024-08
ORD1048,2024-08-23,Printer,Electronics,3,35266,105798,2024-08
ORD1049,2024-08-28,Mouse,Accessories,1,8494,8494,2024-08
ORD1050,2024-09-02,Monitor,Accessories,4,28521,114084,2024-09
